id,name,dataset,state,region,province,municipality,lapse_rate_code,lat,lon,utmx,utmy,altitude,value
10,Vignola,locali,ITALY,EMILIA-ROMAGNA,MODENA,VIGNOLA,0,44.5041,11.0041,659314,4.92981e+06,100,32.8
10141,Cortile di Carpi,agrmet,ITALY,EMILIA-ROMAGNA,MODENA,CARPI,0,44.7784,10.9713,655965,4.96022e+06,23,32.4
11103,Pennabilli,simnbo,ITALY,EMILIA-ROMAGNA,RIMINI,PENNABILLI,0,43.8199,12.2741,763298,4.85708e+06,629,32
11104,Cattolica,simnbo,ITALY,EMILIA-ROMAGNA,RIMINI,CATTOLICA,0,43.9585,12.7394,800020,4.87406e+06,5,36.8
11105,San Marino,simnbo,SAN MARINO,EE,EE,EE,0,43.9375,12.4465,776616,4.87071e+06,680,31.7
11282,Marzaglia,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,MODENA,0,44.6371,10.806,643237,4.94423e+06,54,33.1
11832,Foce Metauro,fiduma,ITALY,MARCHE,PESARO E URBINO,FANO,0,43.8263,13.0538,825968,4.86058e+06,7,36.2
11834,Fossombrone,fiduma,ITALY,MARCHE,PESARO E URBINO,FOSSOMBRONE,0,43.6909,12.8246,808235,4.84466e+06,96,37.9
12072,Castelnovo Bariano CMT,fiduve,ITALY,VENETO,ROVIGO,CASTELNOVO BARIANO,0,45.0319,11.3269,683297,4.98913e+06,9,30
12099,Gesia-Cavarzere CMT,fiduve,ITALY,VENETO,VENEZIA,CAVARZERE,0,45.1625,12.0881,742697,5.00564e+06,1,28.3
12165,Roverchiara CMT,fiduve,ITALY,VENETO,VERONA,ROVERCHIARA,0,45.2669,11.255,676901,5.01508e+06,20,29.9
12180,Sant'Apollinare CMT,fiduve,ITALY,VENETO,ROVIGO,ROVIGO,0,45.035,11.8269,722671,4.99073e+06,2,29.7
12183,Sorga' CMT,fiduve,ITALY,VENETO,VERONA,SORGA',0,45.2189,11.0097,657792,5.00923e+06,24,29.9
12307,Loco Carchelli,fiduli,ITALY,LIGURIA,GENOVA,ROVEGNO,1,44.5542,9.28421,522573,4.93347e+06,600,27.5
12411,Bologna San Luca,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,BOLOGNA,0,44.4787,11.2984,682782,4.92761e+06,286,31.6
