id,name,dataset,state,region,province,municipality,lapse_rate_code,lat,lon,utmx,utmy,altitude,value
2290,Castelfranco Emilia,agrmet,ITALY,EMILIA-ROMAGNA,MODENA,CASTELFRANCO EMILIA,0,44.6313,11.0295,660981,4.944e+06,32,14.3
2295,San Pietro in Vincoli,agrmet,ITALY,EMILIA-ROMAGNA,RAVENNA,RAVENNA,0,44.3139,12.1602,752029,4.9116e+06,5,11.8
2297,Vergiano,agrmet,ITALY,EMILIA-ROMAGNA,RIMINI,RIMINI,0,44.0346,12.5005,780493,4.88167e+06,36,12.1
2301,Sant'Agata Bolognese,agrmet,ITALY,EMILIA-ROMAGNA,BOLOGNA,SANT'AGATA BOLOGNESE,0,44.695,11.1449,669948,4.95131e+06,18,11.8
2303,Copparo,agrmet,ITALY,EMILIA-ROMAGNA,FERRARA,COPPARO,0,44.9163,11.8213,722686,4.97753e+06,1,9.49999
2305,Correggio,agrmet,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,CORREGGIO,0,44.7433,10.7729,640357,4.95596e+06,33,13.4
2306,Cavriago,agrmet,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,CAVRIAGO,0,44.6895,10.5106,619702,4.94957e+06,95,13.2
2308,Lavezzola,agrmet,ITALY,EMILIA-ROMAGNA,FERRARA,ARGENTA,0,44.5635,11.844,725850,4.9384e+06,5,12.3
2981,Rolo,locali,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,ROLO,0,44.8848,10.874,647996,4.97186e+06,20,11.8
3,Malborghetto di Boara,locali,ITALY,EMILIA-ROMAGNA,FERRARA,FERRARA,0,44.8589,11.6563,709867,4.97071e+06,2,10.76
3000,Ca' Bortolani,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,VALSAMOGGIA,0,44.3468,11.0845,666151,4.91251e+06,691,10.4
3001,Pracchia,simnbo,ITALY,TOSCANA,PISTOIA,PISTOIA,1,44.054,10.9056,652640,4.87964e+06,620,9.59999
3004,Invaso,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,SAN BENEDETTO VAL DI SAMBRO,1,44.2263,11.2226,677515,4.89941e+06,460,9.49999
3011,Sestola,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,SESTOLA,0,44.2321,10.7687,641252,4.89918e+06,985,11.7
3012,Pievepelago,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,PIEVEPELAGO,0,44.1943,10.5772,626041,4.89466e+06,1083,7.39999
3013,Pavullo,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,PAVULLO NEL FRIGNANO,1,44.3196,10.8283,645790,4.90899e+06,687,14.5
3015,Bardi,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,BARDI,0,44.6338,9.73284,558125,4.94253e+06,597,11.8
3016,Bedonia,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,BEDONIA,1,44.5074,9.62674,549818,4.92843e+06,521,11.1
3017,Castelnovo ne' Monti,simnpr,ITALY,EMILIA-ROMAGNA,REGGIO EMILIA,CASTELNOVO NE' MONTI,0,44.4349,10.3947,610999,4.92112e+06,729,9.89999
3020,Isola Palanzano,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,PALANZANO,1,44.4284,10.1622,592503,4.92011e+06,597,6.59999
3021,Lagdei,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,CORNIGLIO,1,44.4123,10.0085,580297,4.91816e+06,1252,3.79999
3022,Marra,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,CORNIGLIO,1,44.4734,10.0475,583309,4.92499e+06,618,10.5
3029,Monte Grosso,spdsra,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,ROCCA SAN CASCIANO,0,44.0715,11.8718,729972,4.88383e+06,670,7.09999
3030,Rontana,spdsra,ITALY,EMILIA-ROMAGNA,RAVENNA,BRISIGHELLA,0,44.227,11.7378,718668,4.90073e+06,370,11.3
3031,Corsicchie,spdsra,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,BAGNO DI ROMAGNA,0,43.846,12.0357,744020,4.85925e+06,1200,3.49999
3033,Civitella,spdsra,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,CIVITELLA DI ROMAGNA,0,43.9935,11.9453,736167,4.87537e+06,460,11.3
3042,Voltre,spdsra,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,CIVITELLA DI ROMAGNA,0,44.0325,12.0433,743862,4.87998e+06,270,12.5
3044,Trebbio,spdsra,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,MODIGLIANA,0,44.1366,11.837,726938,4.89096e+06,570,9.09999
3045,Monte Iottone,spdsra,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,MERCATO SARACENO,0,43.9969,12.1687,754062,4.87641e+06,365,12.3
3048,Roversano,spdsra,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,CESENA,0,44.0857,12.2068,756738,4.88639e+06,175,10.9
3049,Bibbiana,spdsra,ITALY,TOSCANA,FIRENZE,PALAZZUOLO SUL SENIO,0,44.1296,11.5126,701007,4.88934e+06,858,7.59999
3050,Corniolo,spdsra,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,SANTA SOFIA,0,43.9243,11.7933,724239,4.86725e+06,735,4.69999
3060,Madonna dei Fornelli,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,SAN BENEDETTO VAL DI SAMBRO,0,44.2157,11.2568,680282,4.89831e+06,900,6.39999
3062,Monteacuto delle Alpi,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,LIZZANO IN BELVEDERE,0,44.1364,10.8874,650975,4.88875e+06,900,9.49999
3077,Diga del Brugneto,simnpr,ITALY,LIGURIA,GENOVA,TORRIGLIA,1,44.5339,9.20825,516546,4.9312e+06,744,6.69999
3078,Lago Paduli,simnpr,ITALY,TOSCANA,MASSA CARRARA,COMANO,0,44.3458,10.1385,590743,4.91091e+06,1151,3.89999
3080,Torriglia,simnpr,ITALY,LIGURIA,GENOVA,TORRIGLIA,1,44.5149,9.15454,512283,4.92907e+06,769,7.79999
3104,Vergato,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,VERGATO,1,44.2878,11.1131,668598,4.90601e+06,193,12.5
