kPa,m3acqua/m3
0.09935,0.33366
0.97439,0.31974
2.93498,0.30923
5.06087,0.2988
8.84054,0.256
11.76041,0.22101
12.87832,0.19964
14.85357,0.17567
19.75944,0.14974
37.79765,0.12117
74.20318,0.09907
159.52065,0.07955
301.21267,0.07104
1504.75151,0.04881
