kPa,theta
0.10068,0.30336
1,0.28531
1.98983,0.26938
2.99455,0.25522
3.9865,0.25027
5.95865,0.23965
7.93247,0.2354
10.92601,0.22301
13.96273,0.21664
16.89704,0.21558
19.89833,0.21345
21.74093,0.21027
23.91653,0.21487
27.7835,0.20673
30.77271,0.2046
